country,city,density
Saint Pierre and Miquelon,Saint-Pierre,26.0
Saint Vincent and the Grenadines,Kingstown,282.5897436
Samoa,Apia,69.30388693
San Marino,San Marino,563.0833333
Sao Tome and Principe,São Tomé,219.8208333
Saudi Arabia,Riyadh,15.67665431
Scotland,Edinburgh,67.2
Senegal,Dakar,82.34747832
Serbia,Belgrade,100
Seychelles,Victoria,210.3521739
Sierra Leone,Freetown,105.987171
Singapore,Singapore,7952.998418
Slovakia,Bratislava,113.2905782
Slovenia,Ljubljana,102.6398595
Solomon Islands,Honiara,23.32468739
Somalia,Mogadishu,23.9234769
South Africa,Pretoria,47.63011978
South Georgia and the South Sandwich Islands,None,0
South Korea,Seoul,529.6521036
South Sudan,Juba,20.3
Spain,Madrid,93.52905826
Sri Lanka,Colombo, Sri Jayawardenepura Kotte,345.558922
Sudan,Khartum,20.73
Suriname,Paramaribo,3.69225
Svalbard and Jan Mayen,Longyearbyen,0.044
Swaziland,Mbabane,66.05761628
Sweden,Stockholm,25.00104343
Switzerland,Bern,215.5213784
Syria,Damascus,92.06710777
Tajikistan,Dushanbe,65.57271417
Tanzania,Dodoma,63.5790788
Thailand,Bangkok,135.8972068
The Democratic Republic of Congo,Kinshasa,37.08259236
Togo,Lomé,145.0467733
Tokelau,Fakaofo,115
Tonga,Nuku'alofa,143.3291667
Trinidad and Tobago,Port-of-Spain,270.9274854
Tunisia,Tunis,74.44132338
Turkey,Ankara,106.9601289
Turkmenistan,Ashgabat,12.45059477
Turks and Caicos Islands,Cockburn Town,39.64736842
Tuvalu,Funafuti,383.6
Uganda,Kampala,213.0617345
Ukraine,Kyiv,77.02966735
United Arab Emirates,Abu Dhabi,135.6091101
United Kingdom,London,274.8273922
United States,Washington,35.76608858
United States Minor Outlying Islands,None,9
Uruguay,Montevideo,19.70802765
Uzbekistan,Toskent,77.46920545
Vanuatu,Port-Vila,24.00984413
Venezuela,Caracas,32.73079191
Vietnam,Hanoi,308.1252459
Virgin Islands, British,Road Town,198.68
Virgin Islands, U.S.,Charlotte Amalie,305.6485714
Wales,Cardiff,151.4
Wallis and Futuna,Mata-Utu,83.55
Western Sahara,El-Aai,2.03
Yemen,Sanaa,53.97785291
Zambia,Lusaka,23.3414789
Zimbabwe,Harare,37.32459093
